"Data Source","World Development Indicators",

"Last Updated Date","2019-09-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Ethiopia","ETH","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.2844314575195","81.9614410400391","","","","","","","","","",
"Ethiopia","ETH","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.509651184082","88.9290771484375","","","","","","","","","",
"Ethiopia","ETH","Repeaters, primary, total (% of total enrollment)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","12.1743001937866","","","","","9.54691982269287","10.9336500167847","9.11415004730225","","","","","8.62024021148682","8.69857978820801","9.71259021759033","7.83280992507935","8.84650039672852","10.5677900314331","12.7756996154785","13.3557395935059","13.812029838562","14.5445098876953","11.2460803985596","7.27567005157471","6.67200994491577","6.03748989105225","5.65516996383667","6.64756011962891","7.47343015670776","8.49507999420166","8.75391960144043","","7.6238899230957","6.88012981414795","","","",
"Ethiopia","ETH","Repeaters, primary, male (% of male enrollment)","SE.PRM.REPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","11.1663799285889","","","","","8.49240970611572","9.87125015258789","8.06501960754395","","","","","7.53176021575928","7.4655499458313","8.59370994567871","7.18692016601563","","9.78890991210938","12.6278600692749","13.2597599029541","13.5887203216553","14.2758598327637","11.5221500396729","7.9315299987793","7.30848979949951","6.57391977310181","6.16245985031128","7.14443016052246","6.69292020797729","7.096519947052","9.16269969940186","","7.80245018005371","7.04709005355835","","","",
"Ethiopia","ETH","Repeaters, primary, female (% of female enrollment)","SE.PRM.REPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","13.9913501739502","","","","","11.2296199798584","12.6644296646118","10.7574596405029","","","","","10.378809928894","10.7962503433228","11.6978998184204","8.99748992919922","","11.8597202301025","13.0049600601196","13.496319770813","14.1284999847412","14.9166202545166","10.8872404098511","6.47637987136841","5.92773008346558","5.4210901260376","5.08126020431519","6.09927988052368","8.3370304107666","10.0468902587891","8.30428981781006","","7.42550992965698","6.69266986846924","","","",
"Ethiopia","ETH","Persistence to last grade of primary, total (% of cohort)","SE.PRM.PRSL.ZS","","","","","","","","","","","","","","","","","","","","","","48.6929397583008","","","","","49.8068084716797","43.9064788818359","27.8927402496338","","","","","56.3626289367676","50.4881210327148","54.8997611999512","","","44.2221183776855","50.9493293762207","61.199878692627","55.7071685791016","50.9953117370605","46.9238891601563","62.4149894714355","60.7884902954102","57.8404312133789","43.6988410949707","37.9788093566895","36.6830406188965","40.6559181213379","36.6042785644531","","","38.2494697570801","","","","",
"Ethiopia","ETH","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","47.8595504760742","","","","","53.6034202575684","46.4875106811523","26.1195392608643","","","","","58.8509407043457","51.4209403991699","55.9330596923828","","","43.3014488220215","49.3667488098145","60.0377998352051","57.2178916931152","54.0229415893555","46.6200408935547","61.7249183654785","57.6571083068848","56.744010925293","42.0609397888184","35.1247406005859","35.9435691833496","39.8331909179688","34.006420135498","","","37.3366317749023","","","","",
"Ethiopia","ETH","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","50.6346282958984","","","","","44.1224784851074","39.8585205078125","31.1726398468018","","","","","52.5002212524414","49.1244583129883","53.0437698364258","","","46.0388488769531","53.9731712341309","63.3115692138672","53.5950088500977","46.8615989685059","47.364429473877","63.2790412902832","64.9346466064453","59.1562690734863","45.6092185974121","41.3681602478027","37.528881072998","41.6307601928711","39.6148414611816","","","39.287281036377","","","","",
"Ethiopia","ETH","Persistence to grade 5, total (% of cohort)","SE.PRM.PRS5.ZS","","","","","","","","","","","","","","","","","","","","","","50.0995712280273","","","","","52.3950691223145","46.3258094787598","31.098819732666","","","","","58.1259689331055","51.1006202697754","55.2601089477539","","","49.0251083374023","56.4968109130859","64.6218566894531","60.4447212219238","56.0096015930176","53.6400985717773","68.7515335083008","65.5521697998047","64.3769912719727","50.8443908691406","45.6620101928711","43.4441909790039","48.6313400268555","44.1235389709473","","","44.1405410766602","","","","",
"Ethiopia","ETH","Persistence to grade 5, male (% of cohort)","SE.PRM.PRS5.MA.ZS","","","","","","","","","","","","","","","","","","","","","","49.9163208007813","","","","","56.3916206359863","49.2317314147949","29.7063903808594","","","","","61.1119995117188","51.4209403991699","56.5340003967285","","","48.3699989318848","55.2457885742188","63.9354591369629","62.1080703735352","58.8711891174316","53.4106216430664","68.1564788818359","64.0200729370117","63.5408706665039","49.3114395141602","42.9980506896973","42.623218536377","47.9306182861328","41.9040985107422","","","43.2226905822754","","","","",
